CMDLINE python particle_weight.py
MEM 1008.582031 1626202052.4875
MEM 1018.898438 1626202052.5931
MEM 1019.511719 1626202052.7030
MEM 1023.074219 1626202052.8113
MEM 1018.667969 1626202052.9174
MEM 1021.003906 1626202053.0249
MEM 1022.453125 1626202053.1320
MEM 1025.773438 1626202053.2386
MEM 1029.210938 1626202053.3444
MEM 1029.867188 1626202053.4510
MEM 1034.218750 1626202053.5567
MEM 1050.285156 1626202053.6623
MEM 1051.507812 1626202053.7662
MEM 1050.859375 1626202053.8714
MEM 1050.429688 1626202053.9785
MEM 1029.292969 1626202054.0842
MEM 1047.714844 1626202054.1963
MEM 1030.695312 1626202054.3021
MEM 1008.292969 1626202054.4080
MEM 1010.968750 1626202054.5138
MEM 981.710938 1626202054.6208
MEM 927.679688 1626202054.7268
MEM 876.679688 1626202054.8372
MEM 838.707031 1626202054.9445
MEM 890.371094 1626202055.0515
MEM 938.074219 1626202055.1566
MEM 987.585938 1626202055.2613
